sizeA,sizeB,device
320,568,iPhone5S
360,640,GalaxyS5
375,667,iPhone6
384,640,Nexus4
414,736,iPhone6Plus
600,960,KindleFire
768,1024,iPadAir
800,1280,GalaxyTab4
1280,1024,Windows
1920,1080,macOSX
568,320,iPhone5S_Landscape
640,360,GalaxyS5_Landscape
667,375,iPhone6_Landscape
640,384,Nexus4_Landscape
736,414,iPhone6Plus_Landscape
960,600,KindleFire_Landscape
1024,768,iPadAir_Landscape
1280,800,GalaxyTab4_Landscape
1024,1280,Windows_Landscape
1080,1920,macOSX_Landscape
